Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Entry Criteria,Country,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),CPI
1994-0006-IDN,1994,Natural,Geophysical,Earthquake,Affect,Indonesia,7,40,200000,,200040,,57.97797424
1994-0025-IDN,1994,Natural,Geophysical,Volcanic activity,Affect,Indonesia,7,,2000,,2000,,57.97797424
1994-0012-IDN,1994,Natural,Hydrological,Flood,Affect,Indonesia,4,,30000,,30000,1900,57.97797424
1994-0021-PHL,1994,Natural,Hydrological,Landslide,Affect,Philippines (the),4,3,5100,,5103,,57.97797424
1994-0034-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),15,33,46500,59213,105746,,57.97797424
1994-0010-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),62,26,59710,13822,73558,2400,57.97797424
1989-0178-VNM,1989,Natural,Meteorological,Storm,Kill,Viet Nam,751,106,,336000,336106,21000,48.48936537
1989-0131-THA,1989,Natural,Meteorological,Storm,Kill,Thailand,458,,154000,45000,199000,452000,48.48936537
1989-0104-VNM,1989,Natural,Meteorological,Storm,Kill,Viet Nam,104,491,1000000,445000,1445491,,48.48936537
1989-0128-VNM,1989,Natural,Meteorological,Storm,Kill,Viet Nam,104,762,4635000,,4635762,,48.48936537
1990-0409-THA,1990,Natural,Meteorological,Storm,Kill,Thailand,36,,,,,50000,51.106795
1990-0048-VNM,1990,Natural,Hydrological,Flood,Kill,Viet Nam,82,200,10000,,10200,725,51.106795
1990-0069-VNM,1990,Natural,Meteorological,Storm,Kill,Viet Nam,19,108,500000,,500108,,51.106795
1990-0418-VNM,1990,Natural,Meteorological,Storm,Kill,Viet Nam,68,,,,,,51.106795
1990-0608-VNM,1990,Natural,Meteorological,Storm,Kill,Viet Nam,15,,,2000,2000,,51.106795
1990-0177-VNM,1990,Natural,Biological,Epidemic,Kill,Viet Nam,200,,,,,,51.106795
1991-0315-VNM,1991,Natural,Hydrological,Flood,Kill,Viet Nam,38,14,4000,,4014,3200,53.27115662
1991-0530-THA,1991,Natural,Hydrological,Flood,Regional,Thailand,16,,,2000,2000,,53.27115662
1991-0710-THA,1991,Natural,Meteorological,Storm,Kill,Thailand,38,20,1858811,35407,1894238,8323,53.27115662
1991-9078-THA,1991,Natural,Climatological,Drought,,Thailand,,,2500000,,2500000,,53.27115662
1991-0709-THA,1991,Natural,Hydrological,Flood,Affect,Thailand,1,,14474,100,14574,1478,53.27115662
1991-0229-VNM,1991,Natural,Hydrological,Flood,Kill,Viet Nam,21,,270000,600,270600,5000,53.27115662
1991-0538-VNM,1991,Natural,Hydrological,Flood,Kill,Viet Nam,136,,21000,,21000,38500,53.27115662
1991-0210-VNM,1991,Natural,Meteorological,Storm,Affect,Viet Nam,17,16,,455905,455921,9500,53.27115662
1991-0713-VNM,1991,Natural,Meteorological,Storm,Kill,Viet Nam,21,6,770,,776,,53.27115662
1991-0444-VNM,1991,Natural,Meteorological,Storm,Kill,Viet Nam,251,200,10000,,10200,1000,53.27115662
1991-0711-VNM,1991,Natural,Meteorological,Storm,Affect,Viet Nam,8,,10708,,10708,,53.27115662
1992-0313-VNM,1992,Natural,Hydrological,Landslide,Kill,Viet Nam,200,,,38000,38000,,54.88464241
1992-0494-THA,1992,Natural,Meteorological,Storm,Affect,Thailand,3,,93102,13007,106109,,54.88464241
1992-0495-THA,1992,Natural,Meteorological,Storm,Affect,Thailand,,,160550,,160550,,54.88464241
1992-0201-THA,1992,Natural,Meteorological,Storm,Regional,Thailand,,,,,,,54.88464241
1992-0496-THA,1992,Natural,Meteorological,Storm,Affect,Thailand,3,,105674,14113,119787,,54.88464241
1992-0145-VNM,1992,Natural,Hydrological,Flood,Kill,Viet Nam,1,,58000,,58000,,54.88464241
1992-0144-VNM,1992,Natural,Hydrological,Flood,Kill,Viet Nam,55,10,44109,7579,51698,47700,54.88464241
1992-0061-VNM,1992,Natural,Meteorological,Storm,Kill,Viet Nam,14,11,44945,2230,47186,400,54.88464241
1992-0143-VNM,1992,Natural,Meteorological,Storm,Kill,Viet Nam,17,12,31180,980,32172,18000,54.88464241
1993-0222-THA,1993,Natural,Hydrological,Flood,Kill,Thailand,23,252,377070,16487,393809,1261000,56.50464564
1993-9522-THA,1993,Natural,Climatological,Drought,,Thailand,,,,,,2000,56.50464564
1993-0481-THA,1993,Natural,Meteorological,Storm,Affect,Thailand,4,,188388,60,188448,106900,56.50464564
1993-0482-THA,1993,Natural,Meteorological,Storm,Affect,Thailand,,,25468,,25468,25070,56.50464564
1993-0483-THA,1993,Natural,Hydrological,Flood,Affect,Thailand,4,2,302247,613,302862,319850,56.50464564
1993-0484-THA,1993,Natural,Hydrological,Flood,Kill,Thailand,14,,179446,13228,192674,400100,56.50464564
1993-0133-VNM,1993,Natural,Meteorological,Storm,Affect,Viet Nam,3,16,,2000,2016,,56.50464564
1993-0213-VNM,1993,Natural,Hydrological,Flood,Kill,Viet Nam,64,,15000,,15000,10000,56.50464564
1993-0088-VNM,1993,Natural,Meteorological,Storm,Kill,Viet Nam,130,16,6000,5490,11506,15000,56.50464564
1993-0231-VNM,1993,Natural,Meteorological,Storm,Kill,Viet Nam,73,20,20520,4695,25235,50000,56.50464564
1998-0057-BRN,1998,Natural,Climatological,Wildfire,Affect,Brunei Darussalam,,,,,,2000,63.76045524
1994-0594-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),49,86,867837,,867923,26813,57.97797424
1994-9223-KHM,1994,Natural,Climatological,Drought,,Cambodia,,,5000000,,5000000,100000,57.97797424
1994-0062-IDN,1994,Natural,Geophysical,Earthquake,Kill,Indonesia,239,440,8280,,8720,2200,57.97797424
1994-0513-IDN,1994,Natural,Geophysical,Earthquake,Affect,Indonesia,1,52,2385,,2437,,57.97797424
1994-0072-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),17,21,166564,,166585,1000,57.97797424
1994-0519-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),32,15,,258736,258751,67400,57.97797424
1994-0652-IDN,1994,Natural,Geophysical,Earthquake,OFDA,Indonesia,,28,39,,67,,57.97797424
1994-0514-IDN,1994,Natural,Geophysical,Volcanic activity,Kill,Indonesia,31,,,,,,57.97797424
1994-0515-IDN,1994,Natural,Geophysical,Volcanic activity,Kill,Indonesia,58,22,2700,,2722,,57.97797424
1994-0626-IDN,1994,Natural,Hydrological,Flood,Kill,Indonesia,33,,187131,,187131,18145,57.97797424
1994-0783-IDN,1994,Natural,Hydrological,Flood,Affected,Indonesia,5,,50000,,50000,1700,57.97797424
1994-0359-IDN,1994,Natural,Climatological,Wildfire,Affect,Indonesia,,,3000000,,3000000,,57.97797424
1994-0104-IDN,1994,Natural,Hydrological,Flood,Affect,Indonesia,8,,,1000,1000,,57.97797424
1994-0353-IDN,1994,Natural,Hydrological,Flood,Affect,Indonesia,3,,60000,,60000,,57.97797424
1994-0773-IDN,1994,Natural,Hydrological,Flood,Affected,Indonesia,6,,640,,640,1500,57.97797424
1994-0064-KHM,1994,Natural,Hydrological,Flood,Kill,Cambodia,506,,29000,,29000,,57.97797424
1994-0602-LAO,1994,Natural,Biological,Epidemic,Kill,Lao People's Democratic Republic (the),500,,8000,,8000,,57.97797424
1994-0760-LAO,1994,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),,,190000,,190000,,57.97797424
1994-0615-MMR,1994,Natural,Meteorological,Storm,Kill,Myanmar,17,,64970,,64970,10000,57.97797424
1994-0518-PHL,1994,Natural,Geophysical,Earthquake,Kill,Philippines (the),81,171,266710,3985,270866,3700,57.97797424
1994-0768-PHL,1994,Natural,Geophysical,Earthquake,Affected,Philippines (the),,3,215,,218,,57.97797424
1994-0128-PHL,1994,Natural,Hydrological,Flood,Affect,Philippines (the),1,,2708,54,2762,37,57.97797424
1994-0778-PHL,1994,Natural,Hydrological,Flood,Affected,Philippines (the),2,,18000,,18000,1600,57.97797424
1994-0782-PHL,1994,Natural,Hydrological,Flood,Affected,Philippines (the),9,,16821,,16821,855,57.97797424
1994-0211-PHL,1994,Natural,Hydrological,Landslide,Kill,Philippines (the),23,1,45762,22977,68740,24000,57.97797424
1994-0071-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),11,7,420721,,420728,37600,57.97797424
1994-0073-PHL,1994,Natural,Meteorological,Storm,Affect,Philippines (the),2,,23952,,23952,,57.97797424
1994-0074-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),11,,14000,,14000,,57.97797424
1994-0215-PHL,1994,Natural,Meteorological,Storm,Affect,Philippines (the),7,,54674,,54674,3900,57.97797424
1994-0313-PHL,1994,Natural,Meteorological,Storm,Kill,Philippines (the),39,,,,,1700,57.97797424
1994-0756-PHL,1994,Natural,Meteorological,Storm,Affect,Philippines (the),3,,5300,,5300,,57.97797424
1994-0168-PHL,1994,Natural,Hydrological,Flood,Kill,Philippines (the),50,,757000,17000,774000,1650,57.97797424
1995-0247-PHL,1995,Natural,Meteorological,Storm,Kill,Philippines (the),184,14,758423,106000,864437,38100,59.60449489
1995-0084-IDN,1995,Natural,Geophysical,Earthquake,Kill,Indonesia,15,26,150,,176,,59.60449489
1995-0199-PHL,1995,Natural,Meteorological,Storm,Kill,Philippines (the),20,,19655,,19655,394,59.60449489
1995-0252-IDN,1995,Natural,Geophysical,Earthquake,Kill,Indonesia,84,1868,52665,35685,90218,,59.60449489
1995-0209-PHL,1995,Natural,Hydrological,Flood,Kill,Philippines (the),416,7,24478,,24485,700300,59.60449489
1995-0272-PHL,1995,Natural,Meteorological,Storm,Kill,Philippines (the),146,55,347998,,348053,30000,59.60449489
1995-0486-PHL,1995,Natural,Meteorological,Storm,Affected,Philippines (the),,,20000,,20000,5000,59.60449489
1995-0089-IDN,1995,Natural,Geophysical,Earthquake,Affect,Indonesia,,38,1500,,1538,,59.60449489
1995-0079-IDN,1995,Natural,Hydrological,Flood,Kill,Indonesia,27,,2200,,2200,,59.60449489
1995-0019-IDN,1995,Natural,Hydrological,Flood,Affect,Indonesia,3,,3000,,3000,,59.60449489
1995-0029-IDN,1995,Natural,Hydrological,Flood,Kill,Indonesia,47,,26000,10000,36000,400,59.60449489
1995-0071-IDN,1995,Natural,Hydrological,Flood,Kill,Indonesia,45,,17500,,17500,,59.60449489
1995-0476-IDN,1995,Natural,Hydrological,Flood,Kill,Indonesia,18,472,201000,,201472,50000,59.60449489
1995-0229-LAO,1995,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),,,391400,,391400,,59.60449489
1995-0464-LAO,1995,Natural,Meteorological,Storm,Kill,Lao People's Democratic Republic (the),26,,,1000000,1000000,,59.60449489
1995-0053-LAO,1995,Natural,Biological,Epidemic,Kill,Lao People's Democratic Republic (the),34,,244,,244,,59.60449489
1995-0463-LAO,1995,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),,,200000,,200000,,59.60449489
1995-0148-MMR,1995,Natural,Geophysical,Earthquake,Kill,Myanmar,,,,,,,59.60449489
1995-0230-MMR,1995,Natural,Hydrological,Flood,Kill,Myanmar,51,,19544,12401,31945,,59.60449489
1995-0142-MYS,1995,Natural,Hydrological,Landslide,Kill,Malaysia,20,23,,,23,,59.60449489
1995-0370-MYS,1995,Natural,Climatological,Wildfire,Affect,Malaysia,,,,3000,3000,,59.60449489
1995-0055-PHL,1995,Natural,Geophysical,Earthquake,SigDis,Philippines (the),,,,,,,59.60449489
1995-0472-PHL,1995,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,,2500,2500,,59.60449489
1995-0304-PHL,1995,Natural,Hydrological,Flood,Kill,Philippines (the),13,,47700,,47700,500,59.60449489
1995-0187-PHL,1995,Natural,Meteorological,Storm,Affect,Philippines (the),6,,195886,,195886,,59.60449489
1995-0271-PHL,1995,Natural,Meteorological,Storm,Kill,Philippines (the),882,2369,1597219,,1599588,244000,59.60449489
1995-0161-PHL,1995,Natural,Hydrological,Flood,Affect,Philippines (the),,,25000,,25000,,59.60449489
1995-0163-PHL,1995,Natural,Biological,Insect infestation,Affect,Philippines (the),,,200,,200,,59.60449489
1995-0282-PHL,1995,Natural,Hydrological,Flood,Kill,Philippines (the),18,,,10000,10000,,59.60449489
1995-0290-PHL,1995,Natural,Hydrological,Flood,Kill,Philippines (the),17,,17500,,17500,142,59.60449489
1995-0291-PHL,1995,Natural,Hydrological,Flood,Kill,Philippines (the),12,,4500,,4500,,59.60449489
1995-0306-PHL,1995,Natural,Meteorological,Storm,Kill,Philippines (the),11,2,229191,,229193,,59.60449489
1996-0002-IDN,1996,Natural,Geophysical,Earthquake,Kill,Indonesia,9,,,13000,13000,1200,61.35162973
1996-0061-IDN,1996,Natural,Geophysical,Earthquake,Kill,Indonesia,166,423,20125,5090,25638,4200,61.35162973
1996-0282-MYS,1996,Natural,Meteorological,Storm,Kill,Malaysia,270,26,1150,3000,4176,52000,61.35162973
1996-0246-IDN,1996,Natural,Hydrological,Flood,Kill,Indonesia,13,7,5000,,5007,300,61.35162973
1996-0082-IDN,1996,Natural,Hydrological,Flood,Kill,Indonesia,20,,556000,,556000,434800,61.35162973
1996-0118-IDN,1996,Natural,Hydrological,Flood,Kill,Indonesia,34,21,506,,527,430,61.35162973
1996-0495-IDN,1996,Natural,Hydrological,Flood,Affected,Indonesia,6,,252965,,252965,126900,61.35162973
1996-0222-IDN,1996,Natural,Hydrological,Landslide,Kill,Indonesia,23,4,,,4,,61.35162973
1996-0123-IDN,1996,Natural,Biological,Epidemic,Kill,Indonesia,117,,5373,,5373,,61.35162973
1996-0286-IDN,1996,Natural,Hydrological,Flood,Kill,Indonesia,14,,10000,,10000,,61.35162973
1996-0221-KHM,1996,Natural,Hydrological,Flood,Kill,Cambodia,59,,1300000,,1300000,1500,61.35162973
1996-0215-LAO,1996,Natural,Hydrological,Flood,Kill,Lao People's Democratic Republic (the),30,,420000,,420000,,61.35162973
1996-0445-MYS,1996,Natural,Hydrological,Flood,Affect,Malaysia,,,418,,418,,61.35162973
1996-0127-MYS,1996,Natural,Biological,Epidemic,Affect,Malaysia,,,607,,607,,61.35162973
1996-0123-MYS,1996,Natural,Biological,Epidemic,Kill,Malaysia,13,,4800,,4800,,61.35162973
1996-0197-MYS,1996,Natural,Hydrological,Landslide,Kill,Malaysia,50,12,,250,262,,61.35162973
1996-0204-PHL,1996,Natural,Hydrological,Landslide,Kill,Philippines (the),12,,,,,,61.35162973
1996-0372-PHL,1996,Natural,Hydrological,Landslide,Kill,Philippines (the),33,8,,,8,,61.35162973
1996-0108-PHL,1996,Natural,Meteorological,Storm,Kill,Philippines (the),26,13,36815,,36828,38000,61.35162973
1996-0129-PHL,1996,Natural,Biological,Epidemic,Kill,Philippines (the),4,,214,,214,,61.35162973
1996-0123-PHL,1996,Natural,Biological,Epidemic,Kill,Philippines (the),26,,1459,,1459,,61.35162973
1996-0157-PHL,1996,Natural,Hydrological,Flood,Affect,Philippines (the),,,,96000,96000,,61.35162973
1996-0257-PHL,1996,Natural,Meteorological,Storm,Kill,Philippines (the),12,,800,,800,4150,61.35162973
1997-0203-PHL,1997,Natural,Meteorological,Storm,Kill,Philippines (the),30,,309111,,309111,2500,62.7858352
1997-9244-IDN,1997,Natural,Climatological,Drought,Affected,Indonesia,672,,1065000,,1065000,88000,62.7858352
1997-0559-MYS,1997,Natural,Meteorological,Storm,Affected,Malaysia,2,,2115,,2115,1000,62.7858352
1997-0240-IDN,1997,Natural,Geophysical,Earthquake,Kill,Indonesia,20,300,2805,,3105,1100,62.7858352
1997-0012-IDN,1997,Natural,Geophysical,Volcanic activity,Affect,Indonesia,1,,3000,,3000,,62.7858352
1997-0220-IDN,1997,Natural,Climatological,Wildfire,Affect,Indonesia,240,70,32000,,32070,8000000,62.7858352
1997-0502-IDN,1997,Natural,Biological,Epidemic,Kill,Indonesia,150,,,,,,62.7858352
1997-0484-IDN,1997,Natural,Biological,Epidemic,Kill,Indonesia,47,,,,,,62.7858352
1997-0267-KHM,1997,Natural,Meteorological,Storm,Kill,Cambodia,25,,,,,10,62.7858352
1997-0548-KHM,1997,Natural,Biological,Epidemic,Affected,Cambodia,3,,227,,227,,62.7858352
1997-0177-MMR,1997,Natural,Hydrological,Flood,Kill,Myanmar,68,,103650,33768,137418,,62.7858352
1997-0220-MYS,1997,Natural,Climatological,Wildfire,Affect,Malaysia,,,,,,300000,62.7858352
1997-0501-MYS,1997,Natural,Biological,Epidemic,Kill,Malaysia,17,,,,,,62.7858352
1997-0541-MYS,1997,Natural,Biological,Epidemic,Affected,Malaysia,50,,19544,,19544,,62.7858352
1997-0553-MYS,1997,Natural,Biological,Epidemic,Affected,Malaysia,28,,2140,,2140,,62.7858352
1997-0567-PHL,1997,Natural,Hydrological,Flood,Kill,Philippines (the),18,,105000,,105000,76,62.7858352
1997-0180-PHL,1997,Natural,Meteorological,Storm,Kill,Philippines (the),18,5,53654,,53659,5000,62.7858352
1997-0252-PHL,1997,Natural,Meteorological,Storm,Affect,Philippines (the),1,,4000,,4000,,62.7858352
1998-0218-IDN,1998,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,6000,,6000,,63.76045524
1998-0057-IDN,1998,Natural,Climatological,Wildfire,Affect,Indonesia,3,,2000,,2000,1300000,63.76045524
1998-0143-IDN,1998,Natural,Biological,Epidemic,Kill,Indonesia,777,,32665,,32665,,63.76045524
1998-0045-IDN,1998,Natural,Biological,Epidemic,Kill,Indonesia,672,,,,,,63.76045524
1998-0355-IDN,1998,Natural,Hydrological,Flood,Affect,Indonesia,4,,100000,,100000,,63.76045524
1998-0234-KHM,1998,Natural,Biological,Epidemic,Kill,Cambodia,15,,69,,69,,63.76045524
1998-0352-KHM,1998,Natural,Biological,Epidemic,Affect,Cambodia,475,,15000,,15000,,63.76045524
1998-0057-MYS,1998,Natural,Climatological,Wildfire,Affect,Malaysia,,,,,,2000,63.76045524
1998-0372-MYS,1998,Natural,Hydrological,Flood,Affect,Malaysia,,,2500,,2500,,63.76045524
1998-0296-PHL,1998,Natural,Meteorological,Storm,Kill,Philippines (the),118,22,1749414,,1749436,87038,63.76045524
1998-0309-PHL,1998,Natural,Meteorological,Storm,Kill,Philippines (the),75,63,1344556,,1344619,50000,63.76045524
1998-0314-PHL,1998,Natural,Meteorological,Storm,Kill,Philippines (the),332,751,3901673,,3902424,71000,63.76045524
1998-0088-PHL,1998,Natural,Climatological,Wildfire,Affect,Philippines (the),2,,300,,300,,63.76045524
1998-0271-PHL,1998,Natural,Biological,Epidemic,Kill,Philippines (the),202,,11000,,11000,,63.76045524
1994-0777-THA,1994,Natural,Meteorological,Storm,SigDam,Thailand,9,,10000,,10000,8000,57.97797424
1994-0187-VNM,1994,Natural,Hydrological,Landslide,Kill,Viet Nam,21,34,,1000,1034,2300,57.97797424
1994-0774-THA,1994,Natural,Meteorological,Storm,Kill,Thailand,10,,,,,12000,57.97797424
1994-0308-THA,1994,Natural,Hydrological,Flood,Kill,Thailand,31,,,,,,57.97797424
1994-0120-THA,1994,Natural,Meteorological,Storm,Affect,Thailand,,,5000,,5000,,57.97797424
1994-0174-THA,1994,Natural,Hydrological,Landslide,Affect,Thailand,9,,10000,,10000,,57.97797424
1994-0650-THA,1994,Natural,Hydrological,Flood,Kill,Thailand,60,,,59000,59000,238000,57.97797424
1994-0657-THA,1994,Natural,Hydrological,Flood,Kill,Thailand,11,3,109113,3141,112257,30000,57.97797424
1994-0341-VNM,1994,Natural,Hydrological,Flood,Kill,Viet Nam,310,,382000,,382000,206000,57.97797424
1994-0658-VNM,1994,Natural,Meteorological,Storm,Kill,Viet Nam,30,,11000,,11000,45000,57.97797424
1995-0274-VNM,1995,Natural,Meteorological,Storm,Kill,Viet Nam,16,51,23000,,23051,21200,59.60449489
1995-0148-THA,1995,Natural,Geophysical,Earthquake,Kill,Thailand,,,,,,,59.60449489
1995-0198-THA,1995,Natural,Hydrological,Flood,Kill,Thailand,231,,4224000,56984,4280984,140500,59.60449489
1995-0167-THA,1995,Natural,Meteorological,Storm,Kill,Thailand,27,,,,,,59.60449489
1995-0236-VNM,1995,Natural,Hydrological,Flood,Kill,Viet Nam,253,,400000,,400000,86000,59.60449489
1996-0500-VNM,1996,Natural,Meteorological,Storm,Kill,Viet Nam,194,,,,,227000,61.35162973
1996-0182-THA,1996,Natural,Meteorological,Storm,Affect,Thailand,9,,343386,,343386,150000,61.35162973
1996-0241-THA,1996,Natural,Hydrological,Flood,Kill,Thailand,91,,5000000,,5000000,500,61.35162973
1996-0248-VNM,1996,Natural,Hydrological,Flood,Kill,Viet Nam,162,,375000,,375000,138000,61.35162973
1996-0110-VNM,1996,Natural,Meteorological,Storm,Kill,Viet Nam,585,591,386500,,387091,362000,61.35162973
1996-0202-VNM,1996,Natural,Meteorological,Storm,Kill,Viet Nam,1,,,,,20,61.35162973
1996-0227-VNM,1996,Natural,Meteorological,Storm,Kill,Viet Nam,9,,280000,,280000,11000,61.35162973
1996-0131-VNM,1996,Natural,Biological,Epidemic,Kill,Viet Nam,45,,9706,,9706,,61.35162973
1996-0447-VNM,1996,Natural,Hydrological,Flood,Kill,Viet Nam,60,,,,,13400,61.35162973
1997-0358-VNM,1997,Natural,Meteorological,Storm,Kill,Viet Nam,10,50,,,50,5000,62.7858352
1997-0184-THA,1997,Natural,Meteorological,Storm,Kill,Thailand,46,394,50000,,50394,39500,62.7858352
1997-9525-VNM,1997,Natural,Climatological,Drought,Affected,Viet Nam,,,3000000,,3000000,407000,62.7858352
1997-0213-THA,1997,Natural,Hydrological,Flood,Kill,Thailand,14,,,,,,62.7858352
1997-0267-THA,1997,Natural,Meteorological,Storm,Kill,Thailand,152,,,,,5000,62.7858352
1997-0186-VNM,1997,Natural,Meteorological,Storm,Affect,Viet Nam,,,,,,5000,62.7858352
1997-0267-VNM,1997,Natural,Meteorological,Storm,Kill,Viet Nam,3682,857,697225,383045,1081127,470000,62.7858352
1998-0374-VNM,1998,Natural,Meteorological,Storm,Kill,Viet Nam,283,92,2400000,40000,2440092,93200,63.76045524
1998-0159-VNM,1998,Natural,Meteorological,Storm,Kill,Viet Nam,42,,,500,500,,63.76045524
1998-0316-VNM,1998,Natural,Hydrological,Flood,Kill,Viet Nam,45,5,31030,1470,32505,13700,63.76045524
1998-0273-VNM,1998,Natural,Biological,Epidemic,Kill,Viet Nam,20,,,,,,63.76045524
1998-0327-VNM,1998,Natural,Biological,Epidemic,Kill,Viet Nam,214,,8000,,8000,,63.76045524
1998-0403-IDN,1998,Natural,Geophysical,Earthquake,Kill,Indonesia,33,88,3800,2560,6448,200000,63.76045524
1998-0583-IDN,1998,Natural,Geophysical,Earthquake,Affected,Indonesia,1,,310,190,500,,63.76045524
1998-0578-MYS,1998,Natural,Biological,Epidemic,Kill,Malaysia,105,,160,,160,,63.76045524
1998-9062-MYS,1998,Natural,Climatological,Drought,Affected,Malaysia,,,5000,,5000,,63.76045524
1998-0404-PHL,1998,Natural,Meteorological,Storm,Kill,Philippines (the),69,30,326490,,326520,27399,63.76045524
1998-9109-PHL,1998,Natural,Climatological,Drought,Affected,Philippines (the),8,,2600000,,2600000,,63.76045524
1999-0568-IDN,1999,Natural,Geophysical,Earthquake,Affect,Indonesia,5,220,14000,2700,16920,3900,65.15554686
1999-0007-IDN,1999,Natural,Hydrological,Landslide,Kill,Indonesia,33,2,,,2,,65.15554686
1999-0342-IDN,1999,Natural,Climatological,Wildfire,Declar,Indonesia,,,,,,1800,65.15554686
1999-0485-IDN,1999,Natural,Biological,Epidemic,Affect,Indonesia,1,,267,,267,,65.15554686
1999-0651-IDN,1999,Natural,Biological,Epidemic,Kill,Indonesia,45,,3751,,3751,,65.15554686
1999-0589-IDN,1999,Natural,Hydrological,Landslide,Kill,Indonesia,56,,,,,,65.15554686
1999-0002-IDN,1999,Natural,Hydrological,Flood,Kill,Indonesia,12,,16000,,16000,,65.15554686
1999-0486-IDN,1999,Natural,Biological,Epidemic,Kill,Indonesia,10,,627,,627,,65.15554686
1999-0437-KHM,1999,Natural,Hydrological,Flood,Affect,Cambodia,,,106670,17805,124475,,65.15554686
1999-0259-KHM,1999,Natural,Hydrological,Flood,Affect,Cambodia,7,,527904,8000,535904,500,65.15554686
1999-0471-KHM,1999,Natural,Biological,Epidemic,Kill,Cambodia,56,,874,,874,,65.15554686
1999-9037-LAO,1999,Natural,Climatological,Drought,Affected,Lao People's Democratic Republic (the),,,20000,,20000,,65.15554686
1999-0354-MMR,1999,Natural,Hydrological,Flood,Kill,Myanmar,22,,,50000,50000,,65.15554686
1999-0003-MYS,1999,Natural,Hydrological,Flood,Affect,Malaysia,1,,2000,,2000,,65.15554686
1999-0644-PHL,1999,Natural,Geophysical,Earthquake,Affect,Philippines (the),6,40,150,,190,1794,65.15554686
1999-0053-PHL,1999,Natural,Hydrological,Flood,Kill,Philippines (the),34,79,2609,1015,3703,6000,65.15554686
1999-0253-PHL,1999,Natural,Hydrological,Flood,Kill,Philippines (the),130,32,2096341,3390,2099763,18000,65.15554686
1999-0608-PHL,1999,Natural,Hydrological,Flood,Affect,Philippines (the),,,,250,250,,65.15554686
1999-0127-PHL,1999,Natural,Hydrological,Landslide,Kill,Philippines (the),19,,,,,,65.15554686
1999-0172-PHL,1999,Natural,Hydrological,Landslide,Kill,Philippines (the),10,10,,35,45,,65.15554686
1999-0312-PHL,1999,Natural,Hydrological,Landslide,Kill,Philippines (the),13,,,,,,65.15554686
1999-0732-PHL,1999,Natural,Hydrological,Landslide,Kill,Philippines (the),58,,,,,,65.15554686
1999-0390-PHL,1999,Natural,Meteorological,Storm,Affect,Philippines (the),7,22,37200,4711,41933,1800,65.15554686
1999-0503-PHL,1999,Natural,Biological,Epidemic,Kill,Philippines (the),10,,402,,402,,65.15554686
1999-0083-PHL,1999,Natural,Hydrological,Flood,Affect,Philippines (the),,,1300,,1300,,65.15554686
1999-0723-PHL,1999,Natural,Meteorological,Storm,Affected,Philippines (the),,,1601,,1601,,65.15554686
1999-0724-PHL,1999,Natural,Meteorological,Storm,Affected,Philippines (the),,,755,380,1135,2210,65.15554686
1999-0725-PHL,1999,Natural,Meteorological,Storm,Kill,Philippines (the),47,2,1245917,,1245919,33795,65.15554686
1999-0726-PHL,1999,Natural,Meteorological,Storm,Kill,Philippines (the),11,23,35222,,35245,4007,65.15554686
1999-0727-PHL,1999,Natural,Meteorological,Storm,Affected,Philippines (the),1,2,1505,,1507,,65.15554686
1999-0728-PHL,1999,Natural,Meteorological,Storm,Affected,Philippines (the),1,,5791,,5791,,65.15554686
1999-0729-PHL,1999,Natural,Meteorological,Storm,Kill,Philippines (the),33,7,54152,,54159,14675,65.15554686
2000-0293-IDN,2000,Natural,Geophysical,Earthquake,Kill,Indonesia,103,2714,200000,2000,204714,41000,67.35575898
2000-0791-IDN,2000,Natural,Hydrological,Flood,Kill,Indonesia,38,,39852,,39852,,67.35575898
2000-0038-PHL,2000,Natural,Hydrological,Flood,Kill,Philippines (the),50,,153885,,153885,4080,67.35575898
2000-0230-IDN,2000,Natural,Geophysical,Earthquake,Kill,Indonesia,45,270,,52500,52770,30000,67.35575898
2000-0597-PHL,2000,Natural,Hydrological,Flood,Affect,Philippines (the),5,,6508,,6508,,67.35575898
2000-0257-PHL,2000,Natural,Meteorological,Storm,Affect,Philippines (the),12,4,235885,,235889,1201,67.35575898
2000-0449-IDN,2000,Natural,Geophysical,Earthquake,Waiting,Indonesia,,124,,4000,4124,2000,67.35575898
2000-0761-IDN,2000,Natural,Geophysical,Earthquake,Affect,Indonesia,,,5500,,5500,,67.35575898
2000-0762-IDN,2000,Natural,Geophysical,Earthquake,Affect,Indonesia,1,,3000,,3000,,67.35575898
2000-0258-IDN,2000,Natural,Hydrological,Flood,Kill,Indonesia,126,,50000,,50000,79000,67.35575898
